analyte,setup_id,method,n_components,requested_n_components,score_trend_degree,score_trend_degree_effective,smooth_window,smooth_polyorder,grid_points,scope,technique,sweep,electrode,n_concentrations,n_voltages,cumulative_explained_variance_ratio,avg_abs_pc_pearson,avg_abs_pc_spearman,avg_pc_trend_r2,pc_pearson_r,pc_spearman_r,pc_trend_r2,pc_explained_variance_ratio,rmse_uA,mae_uA,max_abs_residual_uA,normalized_rmse,r2,condition_codes,concentration_values_uM,per_condition_rmse_uA,per_condition_mae_uA,per_condition_r2
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_gc,cathodic,E7,4,250,0.998543472204,0.50763254276,0.6,0.268920623296,0.613603410583;0.401661674936,0.8;0.4,0.37650914548;0.161332101113,0.812078472947;0.186464999258,0.306948582096,0.169697554138,1.63555666369,0.0571173159044,0.778043303555,101;201;301;401,0;100;200;400,0.227394681289;0.23883511448;0.469793922059;0.217744910416,0.142467670223;0.0935986283226;0.299439856502;0.143284061502,0.87398370285;0.498459635386;0.70692149175;0.805955443859
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_normal,anodic,E1,4,250,0.998772350074,0.535266120101,0.6,0.290578121023,0.59904936002;0.471482880183,0.8;0.4,0.35886013574;0.222296106305,0.900094108609;0.0986782414648,0.378108672082,0.211285068659,1.34609860628,0.0862517778546,0.746889068644,101;201;301;401,0;100;200;400,0.309998069262;0.195543335524;0.592571298355;0.293918235171,0.198139386064;0.0662667432548;0.384141290065;0.196592855254,0.750137812145;0.802885533118;0.664559178328;0.763072721869
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_normal,anodic,E3,4,250,0.997895109956,0.532601218875,0.6,0.290795892467,0.617051406087;0.448151031662,0.8;0.4,0.380752437754;0.20083934718,0.863742103532;0.134153006424,0.461847085637,0.281135528286,1.92893698714,0.0890389170253,0.715364852469,101;201;301;401,0;100;200;400,0.32880382868;0.306200113409;0.732127779829;0.339601779799,0.217465782636;0.131794647466;0.525519794847;0.249761888194,0.795730786353;0.440696752267;0.585715603871;0.772657963738
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_normal,anodic,E5,4,250,0.998868653595,0.464267865558,0.4,0.286372306733,0.730402522721;0.198133208395,0.8;0,0.533487845197;0.0392567682688,0.909891809821;0.0889768437736,0.322467025525,0.180964180922,1.47155222252,0.0648568289992,0.814756748942,101;201;301;401,0;100;200;400,0.277035701483;0.212836366194;0.484080804725;0.244044270633,0.173967836321;0.0756866429247;0.310812927045;0.163389317396,0.843948593045;0.742202409291;0.732779087567;0.874250716635
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_normal,anodic,E7,4,250,0.9992303086,0.461049595633,0.4,0.273136408075,0.707158673974;0.214940517292,0.8;0,0.500073390176;0.0461994259738,0.861580759738;0.137649548863,0.343928086439,0.192634746026,1.79109484557,0.0645504642665,0.777363259737,101;201;301;401,0;100;200;400,0.301255696252;0.266750438764;0.498107237144;0.251245902983,0.183612052635;0.0930911320843;0.32256055627;0.171275243114,0.839366155993;0.485202456301;0.700757120404;0.836481331435
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_normal,cathodic,E1,4,250,0.998851209023,0.507342314145,0.4,0.280480436923,0.659277212047;0.355407416243,0.8;0,0.434646442325;0.126314431521,0.892259058724;0.106592150299,0.268879585066,0.154642492439,1.3667439886,0.0567552192295,0.73649991145,101;201;301;401,0;100;200;400,0.24708906879;0.170801448457;0.394888114437;0.207417837773,0.166017458667;0.0650984762033;0.255887099653;0.131566935232,0.801104830708;0.635403471528;0.629309099917;0.662799862949
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_normal,cathodic,E3,4,250,0.997485141216,0.469178582513,0.4,0.293823092828,0.740645984864;0.197711180162,0.8;0,0.548556474896;0.0390897107609,0.84426453639;0.153220604826,0.282864447008,0.171929518503,1.93648296014,0.0503528176329,0.765830125112,101;201;301;401,0;100;200;400,0.259077125292;0.242237264149;0.390918599215;0.203548474132,0.16735956355;0.0969332808776;0.277008196961;0.146417032624,0.841592074695;0.13678316857;0.709821627427;0.772591491923
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_normal,cathodic,E5,4,250,0.999577974058,0.425075121544,0.4,0.269562063325,0.723191213645;0.126959029443,0.8;0,0.523005531494;0.016118595157,0.913980986476;0.0855969875817,0.249769443411,0.145411437798,1.46920051282,0.0471372090268,0.780901269796,101;201;301;401,0;100;200;400,0.244352584196;0.182195414153;0.347338241241;0.189715290043,0.159872396189;0.0680278550721;0.231834766616;0.121910733315,0.843906952158;0.58746028225;0.660245077196;0.785431660546
UA,121,pcr,2,2,1,1,51,3,250,electrode,cv_normal,cathodic,E7,4,250,0.998870731847,0.400536980472,0.4,0.2714598831,0.733748640494;0.0673253204494,0.8;0,0.538387067426;0.00453269877361,0.896378078608;0.102492653239,0.258107900491,0.151090878576,1.77843904096,0.0453635295053,0.756873329467,101;201;301;401,0;100;200;400,0.266218133903;0.225160216411;0.330255332805;0.189317063323,0.173635777866;0.0930519178548;0.21677896239;0.120896856194,0.83733958979;0.162576457441;0.65543236994;0.735426837518
UA,121,pcr,2,2,1,1,51,3,250,mean,cv_gc,anodic,mean,4,250,0.999950745703,0.488673304566,0.8,0.379237137103,0.113926005034;0.863420604099,0.8;0.8,0.012979134623;0.745495139582,0.999150367038;0.000800378665274,10.9860630238,9.45886231771,19.9505757068,0.385425155404,0.0179952321332,101;201;301;401,0;100;200;400,5.16148069019;5.75228418933;18.9350323993;8.03176286869,5.15107058371;5.74278067377;18.9177246354;8.02387337794,-56.7122106067;-121.729412416;-167.689970219;-90.0525693615
